GeneID	Control_Expression_Group	Treatment_Expression_Group	Gene_description
Potri.001G026300	NA	Medium Expression	uridine 5\'-monophosphate synthase / UMP synthase (PYRE-F) (UMPS)
Potri.001G399100	NA	Medium Expression	VQ motif-containing protein
Potri.017G099500	NA	Not Expressed	myb domain protein 121
Potri.016G094800	NA	Low Expression	TEOSINTE BRANCHED, cycloidea and PCF (TCP) 14
Potri.018G126600	NA	Medium Expression	BED zinc finger ;hAT family dimerisation domain
Potri.014G188100	Not Expressed	NA	cytosolic invertase 1
Potri.014G191100	High Expression	NA	unknown
Potri.013G142500	Not Expressed	Not Expressed	unknown
Potri.006G034500	NA	Medium Expression	Basic-leucine zipper (bZIP) transcription factor family protein
Potri.015G040900	Medium Expression	Medium Expression	unknown
Potri.005G089800	NA	Low Expression	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.017G087500	Medium Expression	NA	Protein of unknown function (DUF1997)
Potri.012G007100	High Expression	High Expression	unknown
Potri.013G105000	Low Expression	Low Expression	ABA Overly-Sensitive 5
Potri.003G120500	Medium Expression	NA	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
Potri.007G007100	Low Expression	NA	growth-regulating factor 1
Potri.011G055500	Medium Expression	Medium Expression	TCP family transcription factor
Potri.012G055300	Low Expression	NA	unknown
Potri.019G023400	NA	Low Expression	unknown
Potri.011G097500	NA	Medium Expression	sequence-specific DNA binding transcription factors;sequence-specific DNA binding
Potri.001G163900	High Expression	High Expression	Phosphoinositide phosphatase family protein
Potri.017G092600	High Expression	NA	PHD finger family protein
Potri.014G163400	NA	High Expression	Ypt/Rab-GAP domain of gyp1p superfamily protein
Potri.018G058000	NA	Medium Expression	Signal peptidase subunit
Potri.001G060500	Low Expression	NA	Pollen Ole e 1 allergen and extensin family protein
Potri.012G092000	Medium Expression	Medium Expression	tetratricopeptide repeat (TPR)-containing protein
Potri.015G066600	High Expression	NA	zinc ion binding
Potri.008G208000	Medium Expression	Medium Expression	UDP-xylosyltransferase 2
Potri.017G054000	NA	Medium Expression	inhibitor/interactor with cyclin-dependent kinase
Potri.007G082400	NA	Medium Expression	BRI1-associated receptor kinase
Potri.015G094100	NA	Medium Expression	AAA-type ATPase family protein
Potri.005G058700	NA	Low Expression	PRLI-interacting factor, putative
Potri.004G052300	NA	High Expression	Apoptosis inhibitory protein 5 (API5)
Potri.001G415600	NA	Not Expressed	zinc finger protein-related
Potri.018G103100	NA	High Expression	serine carboxypeptidase-like 29
Potri.006G175200	NA	Medium Expression	Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein
Potri.010G186800	NA	Low Expression	unknown
Potri.010G123600	NA	Medium Expression	unknown
Potri.T098200	NA	Low Expression	lectin protein kinase family protein
Potri.009G005000	Not Expressed	Not Expressed	photosynthetic electron transfer B
Potri.013G061200	High Expression	NA	atypical CYS  HIS rich thioredoxin 4
Potri.006G223600	NA	Medium Expression	Mitochondrial substrate carrier family protein
Potri.006G242700	Not Expressed	Not Expressed	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
Potri.001G342300	Medium Expression	Medium Expression	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Potri.006G062800	NA	High Expression	CBL-interacting protein kinase 23
Potri.003G020600	Not Expressed	NA	Leucine-rich repeat protein kinase family protein
Potri.018G129800	NA	Not Expressed	plant-specific transcription factor YABBY family protein
Potri.019G087000	NA	High Expression	FORMS APLOID AND BINUCLEATE CELLS 1A
Potri.011G103900	NA	Medium Expression	trehalose-6-phosphate synthase
Potri.016G119500	Medium Expression	NA	Mitochondrial substrate carrier family protein
Potri.007G034000	NA	Low Expression	unknown
Potri.008G180500	NA	Medium Expression	carboxyesterase 16
Potri.016G068400	NA	Medium Expression	TatD related DNase
Potri.004G108000	NA	Low Expression	Pentatricopeptide repeat (PPR) superfamily protein
Potri.019G076400	NA	High Expression	unknown
Potri.011G006700	NA	Medium Expression	unknown
Potri.001G334300	NA	High Expression	ARM repeat superfamily protein
Potri.008G187300	NA	Low Expression	unknown
Potri.001G333400	NA	Not Expressed	gamma-glutamyl transpeptidase 1
Potri.001G243300	NA	High Expression	zinc finger (C3HC4-type RING finger) family protein
Potri.009G104300	Medium Expression	NA	carboxyesterase 13
Potri.006G185800	Not Expressed	NA	Photosystem II reaction center PsbP family protein
Potri.011G049300	NA	High Expression	WAPL (Wings apart-like protein regulation of heterochromatin) protein
Potri.002G053300	NA	Low Expression	FZO-like
Potri.001G320900	NA	Medium Expression	winged-helix DNA-binding transcription factor family protein
Potri.010G086300	Medium Expression	NA	unknown
Potri.004G169100	High Expression	High Expression	glycine-rich protein
Potri.004G154800	NA	Medium Expression	unknown
Potri.006G166400	NA	Medium Expression	hydroxyproline-rich glycoprotein family protein
Potri.017G091200	NA	Not Expressed	guanylate-binding family protein
Potri.017G009800	NA	High Expression	Thioesterase/thiol ester dehydrase-isomerase superfamily protein
Potri.005G090300	Medium Expression	NA	TCP family transcription factor
Potri.001G397200	High Expression	NA	ethylene responsive element binding factor 4
Potri.007G147000	NA	Low Expression	Galactose oxidase/kelch repeat superfamily protein
Potri.011G120100	NA	Medium Expression	Nucleotide-diphospho-sugar transferases superfamily protein
Potri.016G002900	High Expression	NA	unknown
Potri.007G035200	High Expression	NA	extra-large G-protein 1
Potri.018G130100	NA	Low Expression	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.004G081100	NA	Not Expressed	ALA-interacting subunit 1
Potri.014G028200	High Expression	NA	abscisic acid responsive elements-binding factor 2
Potri.007G078500	Low Expression	NA	A20/AN1-like zinc finger family protein
Potri.013G035100	High Expression	NA	ARM repeat superfamily protein
Potri.003G022600	Low Expression	Not Expressed	telomerase reverse transcriptase
Potri.T005800	Low Expression	Low Expression	ribulose-bisphosphate carboxylases
Potri.019G078200	NA	Low Expression	adenosine monophosphate kinase
Potri.001G240000	High Expression	NA	O-Glycosyl hydrolases family 17 protein
Potri.T041900	Low Expression	Low Expression	Leucine-rich repeat receptor-like protein kinase family protein
Potri.018G068300	NA	Medium Expression	DnaJ/Hsp40 cysteine-rich domain superfamily protein
Potri.008G193800	NA	Medium Expression	DEA(D/H)-box RNA helicase family protein
Potri.003G064900	NA	Medium Expression	hydroxyproline-rich glycoprotein family protein
Potri.005G203300	NA	Medium Expression	Protein kinase superfamily protein
Potri.005G161100	High Expression	High Expression	unknown
Potri.001G211500	NA	Medium Expression	6-phosphogluconate dehydrogenase family protein
Potri.005G080000	NA	Low Expression	Leucine-rich repeat protein kinase family protein
Potri.008G191600	High Expression	NA	protein phosphatase 2A-2
Potri.006G195200	NA	Medium Expression	unknown
Potri.011G093500	Medium Expression	NA	FASCICLIN-like arabinogalactan 1
Potri.008G219900	NA	High Expression	Dynein light chain type 1 family protein
Potri.004G122000	Low Expression	Low Expression	RING/U-box superfamily protein
Potri.009G131800	NA	Not Expressed	Chaperone DnaJ-domain superfamily protein
Potri.009G122600	NA	Low Expression	MATE efflux family protein
Potri.018G029400	High Expression	High Expression	cellulose synthase 1
Potri.015G062600	NA	Not Expressed	phytochrome kinase substrate 1
Potri.009G024000	NA	Medium Expression	KAR-UP F-box 1
Potri.013G039400	NA	Medium Expression	Ribose 5-phosphate isomerase, type A protein
Potri.004G133900	NA	Low Expression	unknown
Potri.002G118300	High Expression	Medium Expression	ZCW7
Potri.012G090700	Medium Expression	Medium Expression	unknown
Potri.012G053800	NA	High Expression	RING/U-box superfamily protein
Potri.014G052600	NA	High Expression	eukaryotic translation initiation factor 4G
Potri.014G035700	High Expression	NA	ADR1-like 1
Potri.001G420400	Medium Expression	NA	SMAD/FHA domain-containing protein
Potri.008G192600	High Expression	High Expression	glucosyl transferase family 8
Potri.002G237300	NA	Not Expressed	photosystem II reaction center protein L
Potri.010G000700	Medium Expression	Medium Expression	Protein of unknown function (DUF789)
Potri.014G165700	Not Expressed	Not Expressed	F-box family protein
Potri.013G153400	NA	High Expression	WRKY DNA-binding protein 3
Potri.003G052000	NA	Medium Expression	cytochrome c biogenesis protein family
Potri.018G006100	NA	High Expression	COP9 signalosome 5A
Potri.002G135600	High Expression	High Expression	mitochondrial acyl carrier protein 1
Potri.013G118900	NA	Medium Expression	global transcription factor group E4
Potri.008G018600	NA	Low Expression	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
Potri.013G139600	Not Expressed	Not Expressed	NAD(P)H dehydrogenase subunit H
Potri.004G152400	NA	High Expression	Phosphatidylinositol 3- and 4-kinase family protein
Potri.005G142800	NA	Not Expressed	heavy metal atpase 1
Potri.008G220000	NA	Not Expressed	NADH dehydrogenase 5B
Potri.003G034900	NA	Medium Expression	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain
Potri.010G240100	Low Expression	Not Expressed	unknown
Potri.008G186900	NA	Medium Expression	cyclin-related
Potri.001G304100	NA	High Expression	RING/U-box superfamily protein
Potri.014G086900	Low Expression	Low Expression	receptor-like protein kinase 4
Potri.006G070900	NA	Medium Expression	unknown
Potri.001G168100	Medium Expression	Medium Expression	ARM repeat superfamily protein
Potri.005G198300	NA	Low Expression	RH39
Potri.010G022000	NA	Medium Expression	Galactose oxidase/kelch repeat superfamily protein
Potri.013G098800	NA	Not Expressed	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.016G140800	NA	Medium Expression	RNA-binding KH domain-containing protein
Potri.002G006600	High Expression	NA	Ribophorin I
Potri.001G065700	Not Expressed	Not Expressed	unknown
Potri.004G092400	NA	Medium Expression	unknown
Potri.005G131300	Medium Expression	NA	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
Potri.001G083400	NA	Low Expression	alpha/beta-Hydrolases superfamily protein
Potri.003G189500	NA	Medium Expression	ARM repeat superfamily protein
Potri.017G110400	NA	Low Expression	Protein kinase superfamily protein
Potri.004G059500	NA	Low Expression	receptor like protein 51
Potri.001G358800	NA	Medium Expression	lipid-binding serum glycoprotein family protein
Potri.004G143700	NA	Medium Expression	Protein kinase superfamily protein
Potri.006G152400	Not Expressed	NA	unknown
Potri.013G025400	NA	High Expression	RING/U-box superfamily protein
Potri.009G002400	NA	Medium Expression	vacuolar protein sorting 41
Potri.016G060100	NA	High Expression	Aha1 domain-containing protein
Potri.011G152500	NA	High Expression	ubiquitin-specific protease 9
Potri.008G187400	Medium Expression	Low Expression	alanine-2-oxoglutarate aminotransferase 2
Potri.017G137200	NA	Low Expression	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.002G124000	NA	Medium Expression	related to AP2 1
Potri.013G127400	NA	Low Expression	Eukaryotic protein of unknown function (DUF842)
Potri.005G171300	NA	Medium Expression	auxin response factor 17
Potri.001G401500	NA	High Expression	thioredoxin M-type 4
Potri.011G077100	NA	High Expression	DNA-binding bromodomain-containing protein
Potri.006G216900	High Expression	NA	HOPM interactor 7
Potri.017G058300	Medium Expression	Medium Expression	RNA recognition motif (RRM)-containing protein
Potri.013G142400	Not Expressed	Not Expressed	DNA-directed RNA polymerase family protein
Potri.002G248900	NA	High Expression	AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein
Potri.001G251500	NA	Medium Expression	pfkB-like carbohydrate kinase family protein
Potri.016G084400	High Expression	High Expression	Ribosomal protein L4/L1 family
Potri.017G039100	NA	Medium Expression	ATPases;nucleotide binding;ATP binding;nucleoside-triphosphatases;transcription factor binding
Potri.019G076200	Medium Expression	Medium Expression	unknown
Potri.010G033600	Not Expressed	Not Expressed	unknown
Potri.002G211600	Not Expressed	Not Expressed	unknown
Potri.018G067200	High Expression	NA	arginine methyltransferase 11
Potri.012G022000	NA	High Expression	CTC-interacting domain 11
Potri.010G007600	NA	Not Expressed	unknown
Potri.015G075200	Medium Expression	NA	Protein kinase superfamily protein
Potri.018G090900	Medium Expression	NA	hydroxyproline-rich glycoprotein family protein
Potri.003G010000	NA	Medium Expression	unknown
Potri.004G193300	Medium Expression	Low Expression	Protein kinase superfamily protein
Potri.017G050200	Medium Expression	NA	arabinogalactan protein 1
Potri.003G121000	NA	Medium Expression	UDP-galactose transporter 2
Potri.016G142700	NA	Not Expressed	type one serine/threonine protein phosphatase 4
Potri.001G416000	NA	Not Expressed	unknown
Potri.003G020500	Medium Expression	Medium Expression	unknown
Potri.T073900	NA	Not Expressed	Disease resistance protein (TIR-NBS-LRR class) family
Potri.011G031900	High Expression	Medium Expression	eukaryotic translation initiation factor-related
Potri.005G066900	NA	Low Expression	unknown
Potri.005G040700	NA	Medium Expression	gamma histone variant H2AX
Potri.010G025300	NA	High Expression	UDP-xylosyltransferase 2
Potri.017G072300	High Expression	High Expression	RING/U-box superfamily protein
Potri.012G075600	High Expression	NA	aldehyde dehydrogenase 10A8
Potri.006G169800	Not Expressed	NA	zinc finger protein 2
Potri.015G023200	NA	Medium Expression	cytokinin response factor 4
Potri.016G092600	NA	Medium Expression	HOPZ-ACTIVATED RESISTANCE 1
Potri.019G072900	NA	Medium Expression	esterase/lipase/thioesterase family protein
Potri.010G094800	NA	Medium Expression	DNA polymerase lambda (POLL)
Potri.001G060400	NA	Medium Expression	SAUR-like auxin-responsive protein family
Potri.019G025700	NA	Not Expressed	Pentatricopeptide repeat (PPR) superfamily protein
Potri.008G164700	NA	Low Expression	Protein of unknown function (DUF668)
Potri.005G162800	NA	High Expression	3-deoxy-d-arabino-heptulosonate 7-phosphate synthase
Potri.017G150900	Low Expression	NA	unknown
Potri.003G223400	NA	Medium Expression	Nuclear pore complex protein
Potri.014G186600	Not Expressed	Not Expressed	unknown
Potri.010G023200	NA	Medium Expression	DNA binding
Potri.008G045600	High Expression	High Expression	Zinc finger C-x8-C-x5-C-x3-H type family protein
Potri.014G070900	NA	Medium Expression	armadillo repeat kinesin 2
Potri.004G158300	NA	High Expression	DNAJ heat shock N-terminal domain-containing protein
Potri.008G180400	Low Expression	Medium Expression	HXXXD-type acyl-transferase family protein
Potri.002G224400	NA	Not Expressed	ARM repeat superfamily protein
Potri.002G136200	NA	Medium Expression	Protein of unknown function (DUF1639)
Potri.T012400	Medium Expression	NA	BURP domain-containing protein
Potri.004G100100	Medium Expression	NA	LOB domain-containing protein 40
Potri.009G110400	Low Expression	Not Expressed	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.019G067800	NA	High Expression	acyl activating enzyme 5
Potri.002G213600	NA	Medium Expression	NPL4-like protein 1
Potri.005G114300	NA	High Expression	Phosphatidylinositol 3- and 4-kinase family protein with FAT domain
Potri.011G065700	NA	Medium Expression	Hydrolase-like protein family
Potri.013G156700	NA	High Expression	GCN5L1 family protein
Potri.019G044400	Medium Expression	NA	like heterochromatin protein (LHP1)
Potri.005G090000	Low Expression	Low Expression	phytochrome kinase substrate 4
Potri.010G180500	Medium Expression	Medium Expression	UDP-galactose transporter 6
Potri.008G211000	Low Expression	Low Expression	glycine-rich protein
Potri.001G186900	NA	Medium Expression	tRNAse Z4
Potri.003G051100	Not Expressed	NA	Transducin/WD40 repeat-like superfamily protein
Potri.018G063000	NA	Medium Expression	Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-related
Potri.005G166100	NA	Low Expression	VQ motif-containing protein
Potri.011G064600	High Expression	High Expression	unknown
Potri.003G083900	NA	High Expression	peptidyl-prolyl cis-trans isomerases
Potri.013G158500	NA	Medium Expression	cytokinin response factor 4
Potri.004G141700	NA	High Expression	autophagy 2
Potri.012G068300	NA	Medium Expression	Galactosyl transferase GMA12/MNN10 family protein
Potri.018G083300	High Expression	High Expression	CDK-activating kinase 1AT
Potri.011G023800	NA	Low Expression	AAA-type ATPase family protein
Potri.001G373700	NA	High Expression	RING/U-box superfamily protein
Potri.017G047200	NA	Medium Expression	unknown
Potri.014G040800	High Expression	NA	metalloendopeptidases;zinc ion binding
Potri.004G153300	NA	Medium Expression	DNA-binding family protein
Potri.013G073500	NA	Medium Expression	RING/U-box superfamily protein
Potri.016G073500	Medium Expression	NA	unknown
Potri.001G469500	High Expression	NA	Transducin/WD40 repeat-like superfamily protein
Potri.004G045700	NA	Medium Expression	Ribosomal protein S5 family protein
Potri.001G464800	High Expression	High Expression	FAD-binding Berberine family protein
Potri.014G044900	NA	Low Expression	Mitochondrial transcription termination factor family protein
Potri.008G217300	NA	High Expression	cullin 1
Potri.012G039200	NA	High Expression	eukaryotic translation initiation factor 2 (eIF-2) family protein
Potri.002G230800	NA	High Expression	sister-chromatid cohesion protein 3
Potri.017G016300	NA	Not Expressed	Protein of unknown function (DUF679)
Potri.019G028500	NA	Low Expression	ATP synthase subunit C family protein
Potri.012G048700	High Expression	High Expression	don-glucosyltransferase 1
Potri.001G298200	Medium Expression	Medium Expression	unknown
Potri.016G007300	Medium Expression	Not Expressed	FAR1-related sequence 10
Potri.015G096500	Not Expressed	Not Expressed	unknown
Potri.017G033400	Low Expression	Low Expression	RNA-binding (RRM/RBD/RNP motifs) family protein
Potri.008G189100	Not Expressed	NA	Plant protein 1589 of unknown function
Potri.004G040000	High Expression	High Expression	C-terminal domain phosphatase-like 1
Potri.001G117700	NA	Medium Expression	Glycine cleavage T-protein family
Potri.002G238900	NA	High Expression	Protein of unknown function, DUF538
Potri.011G041800	NA	Not Expressed	unknown
Potri.014G178900	NA	Not Expressed	unknown
Potri.012G032200	NA	Medium Expression	plastid division1
Potri.001G166400	High Expression	Medium Expression	exocyst subunit exo70 family protein D1
Potri.008G091700	NA	High Expression	DHHC-type zinc finger family protein
Potri.001G218300	NA	Low Expression	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Potri.017G031900	Not Expressed	NA	calcium-dependent protein kinase 24
Potri.017G069700	Not Expressed	NA	Myzus persicae-induced lipase 1
Potri.008G047700	High Expression	High Expression	SAC3/GANP/Nin1/mts3/eIF-3 p25 family
Potri.002G088700	NA	High Expression	Protein of unknown function (DUF1644)
Potri.014G162600	High Expression	High Expression	F-box and associated interaction domains-containing protein
Potri.019G049700	High Expression	NA	cellulose synthase-like D3
Potri.019G051400	NA	High Expression	NADH:ubiquinone oxidoreductase, 17.2kDa subunit
Potri.016G016700	Low Expression	NA	UDP-glucosyl transferase 71B1
Potri.017G090300	NA	Medium Expression	EID1-like 2
Potri.008G182900	NA	Medium Expression	ARM repeat superfamily protein
Potri.005G086400	NA	Medium Expression	WRKY DNA-binding protein 13
Potri.009G054200	Medium Expression	NA	GTP-binding family protein
Potri.013G144700	NA	High Expression	Secretory carrier membrane protein (SCAMP) family protein
Potri.003G217800	High Expression	NA	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.001G258600	NA	High Expression	dicarboxylate transporter 1
Potri.016G090700	NA	Medium Expression	RNA-binding (RRM/RBD/RNP motifs) family protein
Potri.002G009400	Medium Expression	High Expression	Protein kinase superfamily protein
Potri.004G145800	NA	Medium Expression	phragmoplast orienting kinesin 2
Potri.011G066600	Low Expression	Low Expression	peroxin 7
Potri.007G135500	NA	High Expression	Homeodomain-like transcriptional regulator
Potri.002G173900	Medium Expression	NA	myb domain protein 3
Potri.014G158700	NA	Medium Expression	ARM repeat superfamily protein
Potri.004G112200	NA	High Expression	Translation initiation factor IF2/IF5
Potri.006G274600	NA	Not Expressed	Plant calmodulin-binding protein-related
Potri.006G147400	NA	Medium Expression	Homeodomain-like/winged-helix DNA-binding family protein
Potri.008G087200	NA	High Expression	RING/U-box superfamily protein
Potri.003G043900	NA	High Expression	Dihydrolipoamide acetyltransferase, long form protein
Potri.002G245700	NA	Medium Expression	unknown
Potri.012G069700	NA	High Expression	ABC2 homolog 6
Potri.003G096600	NA	Low Expression	shikimate kinase like 2
Potri.012G044600	NA	Medium Expression	receptor-like kinase 1
Potri.019G001300	Not Expressed	Not Expressed	HXXXD-type acyl-transferase family protein
Potri.001G052300	Medium Expression	NA	Pectin lyase-like superfamily protein
Potri.013G137100	Low Expression	Low Expression	photosystem II reaction center protein B
Potri.003G067100	NA	High Expression	RING-box 1
Potri.003G029200	NA	Medium Expression	receptor like protein 1
Potri.001G111700	NA	High Expression	hydroxymethylglutaryl-CoA synthase / HMG-CoA synthase / 3-hydroxy-3-methylglutaryl coenzyme A synthase
Potri.013G139500	Not Expressed	Not Expressed	unknown
Potri.005G091200	Medium Expression	NA	Transcription factor jumonji (jmjC) domain-containing protein
Potri.007G008200	NA	Medium Expression	Homeobox-leucine zipper protein family
Potri.014G196800	Low Expression	NA	unknown
Potri.018G016000	Medium Expression	NA	phloem protein 2-B2
Potri.003G099900	NA	Medium Expression	Ribosomal protein L35
Potri.010G022300	NA	High Expression	tonneau 2 (TON2)
Potri.014G066000	Medium Expression	Medium Expression	Nucleotidyltransferase family protein
Potri.001G089100	NA	Medium Expression	Glycosyl hydrolase family protein
Potri.001G068900	Medium Expression	Medium Expression	no exine formation 1
Potri.003G082500	NA	Medium Expression	Plant VAMP (vesicle-associated membrane protein) family protein
Potri.018G088100	NA	Low Expression	Protein kinase family protein with leucine-rich repeat domain
Potri.003G018800	Medium Expression	NA	potassium transport 2/3
Potri.004G143400	NA	High Expression	RNA-binding protein 47B
Potri.002G214400	High Expression	High Expression	Mitogen activated protein kinase kinase kinase-related
Potri.011G004500	Low Expression	Not Expressed	Ankyrin repeat family protein
Potri.002G057800	Medium Expression	Medium Expression	vacuoleless1 (VCL1)
Potri.016G083500	High Expression	High Expression	Glutathione S-transferase family protein
Potri.003G024500	Low Expression	NA	DNAse I-like superfamily protein
Potri.006G160600	NA	Medium Expression	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily protein
Potri.019G002300	Not Expressed	Not Expressed	Fasciclin-like arabinogalactan family protein
Potri.006G217600	High Expression	NA	RING/U-box superfamily protein
Potri.010G099600	Low Expression	NA	Homeodomain-like superfamily protein
Potri.001G049600	Not Expressed	NA	unknown
Potri.008G202500	NA	Medium Expression	unknown
Potri.005G205300	NA	Medium Expression	Pleckstrin homology (PH) domain-containing protein
Potri.001G246400	High Expression	NA	Protein kinase protein with tetratricopeptide repeat domain
Potri.002G235400	NA	Medium Expression	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Potri.001G442600	NA	Medium Expression	ACT-like superfamily protein
Potri.003G081400	NA	High Expression	VEFS-Box of polycomb protein
Potri.001G199200	NA	Medium Expression	Myosin family protein with Dil domain
Potri.011G077200	NA	High Expression	eukaryotic translation initiation factor 4E
Potri.005G209200	NA	Medium Expression	FZO-like
Potri.016G045200	NA	Medium Expression	Cation efflux family protein
Potri.008G203900	NA	Low Expression	TRICHOME BIREFRINGENCE-LIKE 11
